cycle,item,k,steps,loss,target,marks,loops,kept
10,sci_017,1,4,0.08,The correct answer is the Sun.,✗✓✓✓,1,False
11,geo_004,0,1,0.01,The capital of Turkey is Ankara.,✗✗✗✗,0,False
11,geo_004,1,1,0.03,The capital of Turkey is Ankara.,✗✗✗✗,0,False
11,geo_013,0,1,0.04,The capital of the Philippines is Manila.,✗✗✗✓,3,False
11,geo_013,1,1,0.01,The capital of the Philippines is Manila.,✗✗✗✓,1,False
12,geo_004,0,1,0.09,The capital of Turkey is Ankara.,✗✗✗✗,0,False
12,geo_004,1,2,0.07,The correct answer is that the capital of Tur,✗✗✗✗,0,False
12,geo_013,0,1,0.01,The capital of the Philippines is Manila.,✗✓✗✗,2,False
12,geo_013,1,1,0.03,The capital of the Philippines is Manila.,✗✗✗✗,2,False
13,geo_004,0,1,0.01,The capital of Turkey is Ankara.,✗✗✗✗,2,False
13,geo_004,1,1,0.0,The capital of Turkey is Ankara.,✗✗✗✗,1,False
13,geo_013,0,1,0.14,The capital of the Philippines is the City of,✓✓✗✗,2,True
13,geo_013,1,1,0.0,The capital of the Philippines is Manila.,✗✓✗✓,1,False
14,geo_010,0,1,0.0,The capital of Morocco is Rabat.,✓✓✓✓,0,True
14,geo_004,0,3,0.11,The correct answer is Ankara.,✗✗✗✗,4,False
14,geo_004,1,1,0.01,The capital of Turkey is Ankara.,✗✗✗✗,1,False
14,geo_013,0,1,0.04,The capital of the Philippines is Manila.,✓✓✗✓,1,True
14,geo_013,1,1,0.0,The capital of the Philippines is Manila.,✓✗✗✓,2,False
15,geo_010,0,1,0.0,The capital of Morocco is Rabat.,✓✓✓✓,0,True
15,geo_004,0,2,0.1,The correct answer is that the capital of Tur,✗✗✗✗,0,False
15,geo_004,1,1,0.11,The correct capital of Turkey is Ankara.,✗✗✗✗,0,False
15,geo_013,0,1,0.01,The capital of the Philippines is Manila.,✓✓✗✗,2,False
15,geo_013,1,1,0.0,The capital of the Philippines is Manila.,✓✗✗✓,1,False
16,geo_004,0,1,0.0,The capital of Turkey is Ankara.,✗✗✗✗,2,False
16,geo_004,1,1,0.0,The capital of Turkey is Ankara.,✗✗✗✗,1,False
16,geo_001,0,1,0.0,The capital of Australia is Canberra.,✓✓✓✓,0,True
16,geo_013,0,4,0.13,The correct answer is Manila.,✓✗✓✗,2,False
16,geo_013,1,1,0.0,The capital of the Philippines is Manila.,✓✓✓✓,0,True
17,geo_010,0,3,0.07,The correct answer is Rabat.,✗✗✗✗,3,False
17,geo_010,1,2,0.15,The correct answer is Rabat.,✓✗✗✓,2,False
17,geo_004,0,1,0.01,The capital of Turkey is Ankara.,✗✗✗✗,1,False
17,geo_001,0,1,0.0,The capital of Australia is Canberra.,✗✓✓✓,1,False
17,geo_001,1,1,0.07,"The correct answer to the question ""What is t",✓✓✓✓,0,True
17,sci_017,0,2,0.15,The correct answer is the Sun.,✗✗✓✓,2,False
17,sci_017,1,1,0.05,"The correct answer to the question ""What is t",✗✓✗✓,2,False
18,geo_010,0,1,0.01,"The correct answer to the question ""What is t",✗✗✗✓,3,False
18,geo_010,1,2,0.15,"The correct answer to the question, ""What is ",✓✓✗✗,2,True
18,geo_004,0,1,0.11,"The correct answer to the question, ""What is ",✗✗✗✗,2,False
18,geo_004,1,1,0.02,"The correct answer to the question ""What is t",✗✗✗✗,4,False
18,geo_013,0,1,0.02,"The correct answer to the question ""What is t",✗✗✗✗,4,False
18,geo_013,1,1,0.04,"The correct answer to the question ""What is t",✗✗✗✓,3,True
19,geo_010,0,1,0.07,"The correct answer to the question, ""What is ",✗✗✗✗,4,False
19,geo_010,1,1,0.02,"The correct answer to the question ""What is t",✓✗✗✓,2,True
19,geo_004,0,1,0.02,"The correct answer to the question ""What is t",✗✗✗✗,1,False
19,geo_001,0,1,0.0,"The correct answer to the question ""What is t",✓✗✓✓,1,True
19,geo_001,1,1,0.01,"The correct answer to the question ""What is t",✗✗✗✗,4,False
19,geo_013,0,1,0.02,"The correct answer to the question ""What is t",✗✗✗✓,3,False
19,geo_013,1,1,0.0,"The correct answer to the question ""What is t",✓✗✗✓,1,True
19,sci_017,0,4,0.13,The correct answer is the Sun.,✗✓✓✓,1,True
19,sci_017,1,2,0.12,The correct answer is the Sun.,✓✓✓✓,0,True
20,geo_010,0,1,0.0,The correct capital of Morocco is Rabat.,✗✓✓✗,2,False
20,geo_010,1,1,0.0,The correct capital of Morocco is Rabat.,✓✗✓✗,2,False
20,geo_004,0,1,0.02,The correct capital of Turkey is Ankara.,✗✗✗✗,1,False
20,geo_004,1,3,0.07,The correct capital of Turkey is Ankara.,✓✗✗✗,3,True
20,geo_001,0,1,0.05,The correct capital of Australia is Canberra.,✗✗✓✓,2,False
20,geo_013,0,2,0.05,The correct answer is Manila.,✓✗✓✗,2,False
20,geo_013,1,2,0.06,The correct answer is Manila.,✓✓✗✗,2,False
21,geo_004,0,1,0.15,The correct answer is Ankara.,✗✗✗✗,3,False
21,geo_001,0,1,0.03,The correct capital of Australia is Canberra.,✗✓✗✓,2,True
21,geo_001,1,1,0.01,The correct capital of Australia is Canberra.,✗✗✗✗,4,False
21,geo_013,0,1,0.02,The correct capital of the Philippines is Man,✗✓✗✓,2,False
21,sci_017,0,1,0.04,The correct answer is the Sun.,✗✓✗✓,1,False
21,sci_017,1,1,0.07,The correct answer is the Sun.,✓✓✗✓,1,True
22,geo_010,0,1,0.0,The correct capital of Morocco is Rabat.,✗✓✗✗,3,True
22,geo_013,0,1,0.01,The correct capital of the Philippines is Man,✗✓✗✓,2,False
22,geo_013,1,1,0.0,The correct capital of the Philippines is Man,✓✓✓✓,0,True
22,sci_017,0,1,0.04,The correct answer is the Sun.,✓✓✗✓,1,False
22,sci_017,1,1,0.01,The correct answer is the Sun.,✓✓✓✓,0,True
23,geo_010,0,1,0.0,The correct capital of Morocco is Rabat.,✗✗✓✗,3,False
23,geo_010,1,1,0.12,The correct capital of Morocco is Rabat. The ,✓✓✓✓,0,True
23,geo_004,0,1,0.01,The correct capital of Turkey is Ankara.,✗✗✗✗,3,False
23,geo_004,1,1,0.0,The correct capital of Turkey is Ankara.,✓✗✗✓,1,True
24,geo_010,0,4,0.23,The correct answer is **Rabat**.,✓✓✓✓,0,True
24,geo_004,0,1,0.0,The correct capital of Turkey is Ankara.,✗✗✓✓,2,False
24,geo_004,1,1,0.03,The correct capital of Turkey is Ankara.,✓✗✗✓,2,False
25,geo_004,0,1,0.01,The correct reference is: (Correct Answer: An,✗✗✗✗,3,False
25,geo_004,1,1,0.0,The correct capital of Turkey is Ankara.,✗✗✗✗,4,False
25,geo_001,0,1,0.1,"The correct answer to the question ""What is t",✗✗✓✓,2,False
25,geo_001,1,1,0.02,The correct answer is Canberra.,✓✓✓✗,1,False
25,geo_013,0,1,0.02,The correct capital of the Philippines is Man,✓✓✓✓,0,True
25,sci_017,0,4,0.13,"The correct answer is the Sun, and the refere",✗✓✗✓,2,False
25,sci_017,1,1,0.02,The correct answer is the Sun.,✗✓✓✓,1,False
26,geo_004,0,1,0.0,The correct capital of Turkey is Ankara.,✓✓✓✗,1,True
26,geo_004,1,2,0.03,The correct answer is Ankara.,✓✗✓✓,1,False
27,geo_004,0,1,0.0,The correct capital of Turkey is Ankara.,✓✗✓✓,1,False
27,geo_004,1,1,0.0,The correct capital of Turkey is Ankara.,✓✓✓✗,1,False
27,geo_001,0,1,0.0,The correct capital of Australia is Canberra.,✓✓✓✗,1,False
27,geo_001,1,1,0.0,The correct capital of Australia is Canberra.,✓✓✓✓,0,True
27,geo_013,0,2,0.04,The correct answer is Manila.,✗✓✓✗,2,True
27,geo_013,1,1,0.0,The correct answer is Manila.,✓✓✗✓,1,True
28,geo_010,0,1,0.04,The correct answer is Rabat.,✗✓✗✓,2,True
28,geo_010,1,2,0.1,The correct answer is **Rabat**.,✓✗✗✗,3,False
28,geo_004,0,1,0.0,The correct answer is Ankara.,✓✓✓✗,1,True
28,geo_004,1,1,0.0,The correct answer is Ankara.,✓✗✗✗,3,False
28,geo_001,0,1,0.0,The correct answer is Canberra.,✗✗✗✗,4,False
28,geo_013,0,1,0.0,The correct answer is Manila.,✓✗✓✗,2,False
28,sci_017,0,1,0.02,The correct answer is the Sun.,✗✓✗✗,3,False
28,sci_017,1,1,0.06,The correct answer is the Sun.,✗✗✗✗,4,False
29,geo_010,0,1,0.01,The correct answer is Rabat.,✓✗✗✗,3,False
29,geo_010,1,1,0.05,The correct answer is Rabat.,✓✓✓✓,0,True
29,geo_004,0,3,0.13,The correct answer is Ankara. The process of ,✗✗✗✗,4,False
29,geo_004,1,1,0.11,The correct answer is Ankara.,✓✓✗✓,1,False
29,geo_001,0,1,0.11,The correct answer is Canberra.,✓✗✗✓,1,True
29,geo_001,1,1,0.01,The correct answer is Canberra.,✗✓✗✗,2,False
29,geo_013,0,1,0.0,The correct answer is Manila.,✓✗✗✗,3,False
29,geo_013,1,1,0.03,The correct answer is Manila.,✗✗✗✓,3,False
29,sci_017,0,1,0.04,The correct answer is the Sun.,✗✓✓✗,2,True
29,sci_017,1,1,0.04,The correct answer is the Sun.,✗✗✗✗,4,False
30,geo_010,0,1,0.02,The correct answer is Rabat.,✓✓✗✗,2,False
30,geo_010,1,1,0.07,The correct answer is **Rabat**.,✓✗✓✓,1,False
30,geo_001,0,1,0.12,The correct answer is Canberra.,✗✗✗✓,3,False
30,geo_001,1,1,0.01,The correct answer is Canberra.,✗✓✗✓,2,True
30,geo_013,0,1,0.0,The correct answer is Manila.,✓✗✗✓,2,False
30,sci_017,0,2,0.13,"The correct answer is the Sun, and the refere",✗✗✗✗,4,False
30,sci_017,1,1,0.1,The nearest star to Earth is the Sun.,✗✗✗✓,3,False
31,geo_010,0,1,0.01,The correct answer is Rabat.,✗✗✗✗,4,False
31,geo_010,1,1,0.1,The correct answer is **Rabat**.,✗✓✗✓,2,False
31,geo_004,0,1,0.04,The correct answer is Ankara.,✗✗✗✗,4,False
31,geo_001,0,1,0.0,The correct answer is Canberra.,✗✗✓✓,2,False
31,geo_001,1,1,0.01,The correct answer is Canberra.,✗✗✗✓,3,False
31,geo_013,0,1,0.0,The correct answer is Manila.,✗✗✗✓,3,True
31,geo_013,1,1,0.0,The correct answer is Manila.,✗✗✗✗,4,False
31,sci_017,0,1,0.05,The correct answer is the Sun.,✗✗✗✗,4,False
31,sci_017,1,1,0.09,The correct answer is the Sun.,✓✗✗✗,3,False
